2019-01-13 21:58:13.971712: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-01-13 21:58:14.401794: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla P100-PCIE-12GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:04:00.0
totalMemory: 11.91GiB freeMemory: 11.63GiB
2019-01-13 21:58:14.401848: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla P100-PCIE-12GB, pci bus id: 0000:04:00.0, compute capability: 6.0)
Loading visual data, group a...Training on 80 classes, good luck!
done. data: (8000, 2048) - labels: (8000,)
Training on 8000 examples.
Normalizing with MinMaxScaler...
[--------------------------------------------------] 0.00% - 0/2000
[--------------------------------------------------] 0.00% - 0/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 0.00% - 0/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 7.75% - 155/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 8.00% - 160/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 8.25% - 165/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 8.50% - 170/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 8.75% - 175/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 9.00% - 180/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 9.25% - 185/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 9.50% - 190/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [====----------------------------------------------] 9.75% - 195/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [=====---------------------------------------------] 10.00% - 200/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [=====---------------------------------------------] 10.00% - 200/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 10.00% - 200/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_200ep/model[=====---------------------------------------------] 10.25% - 205/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 10.50% - 210/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 10.75% - 215/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 11.00% - 220/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 11.25% - 225/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 11.50% - 230/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=====---------------------------------------------] 11.75% - 235/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 12.00% - 240/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 12.25% - 245/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 12.50% - 250/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 12.75% - 255/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 13.00% - 260/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 13.25% - 265/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 13.50% - 270/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [======--------------------------------------------] 13.75% - 275/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 14.00% - 280/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 14.25% - 285/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 14.50% - 290/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 14.75% - 295/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 15.00% - 300/2000
TRAIN - comp.: 0.4390, conf.: 0.0264, bmu rate:0.2369 - TEST - comp.: 0.4488, conf.: 0.0261, bmu rate:0.2390 [=======-------------------------------------------] 15.00% - 300/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=======-------------------------------------------] 15.00% - 300/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_300ep/model[=======-------------------------------------------] 15.25% - 305/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=======-------------------------------------------] 15.50% - 310/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=======-------------------------------------------] 15.75% - 315/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 16.00% - 320/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 16.25% - 325/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 16.50% - 330/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 16.75% - 335/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 17.00% - 340/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 17.25% - 345/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 17.50% - 350/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [========------------------------------------------] 17.75% - 355/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 18.00% - 360/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 18.25% - 365/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 18.50% - 370/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 18.75% - 375/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 19.00% - 380/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 19.25% - 385/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 19.50% - 390/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [=========-----------------------------------------] 19.75% - 395/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [==========----------------------------------------] 20.00% - 400/2000
TRAIN - comp.: 0.4367, conf.: 0.0232, bmu rate:0.2787 - TEST - comp.: 0.4481, conf.: 0.0220, bmu rate:0.2898 [==========----------------------------------------] 20.00% - 400/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 20.00% - 400/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_400ep/model[==========----------------------------------------] 20.25% - 405/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 20.50% - 410/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 20.75% - 415/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 21.00% - 420/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 21.25% - 425/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 21.50% - 430/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [==========----------------------------------------] 21.75% - 435/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 22.00% - 440/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 22.25% - 445/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 22.50% - 450/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 22.75% - 455/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 23.00% - 460/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 23.25% - 465/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 23.50% - 470/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [===========---------------------------------------] 23.75% - 475/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 24.00% - 480/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 24.25% - 485/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 24.50% - 490/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 24.75% - 495/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 25.00% - 500/2000
TRAIN - comp.: 0.4430, conf.: 0.0216, bmu rate:0.3000 - TEST - comp.: 0.4532, conf.: 0.0208, bmu rate:0.3127 [============--------------------------------------] 25.00% - 500/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [============--------------------------------------] 25.00% - 500/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_500ep/model[============--------------------------------------] 25.25% - 505/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [============--------------------------------------] 25.50% - 510/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [============--------------------------------------] 25.75% - 515/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 26.00% - 520/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 26.25% - 525/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 26.50% - 530/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 26.75% - 535/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 27.00% - 540/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 27.25% - 545/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 27.50% - 550/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [=============-------------------------------------] 27.75% - 555/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 28.00% - 560/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 28.25% - 565/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 28.50% - 570/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 28.75% - 575/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 29.00% - 580/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 29.25% - 585/2000
TRAIN - comp.: 0.4468, conf.: 0.0208, bmu rate:0.3198 - TEST - comp.: 0.4593, conf.: 0.0205, bmu rate:0.3246 [==============------------------------------------] 29.50% - 590/2000
